resources/1942_sprite_sheet.png 6 255 255 255
player.sprite 22
5 6 25 16
38 6 24 16
101 6 23 16
166 6 19 16
70 6 24 16
134 6 22 16
200 6 19 16
4 26 28 14
131 27 27 12
35 28 29 10
164 31 25 7
68 27 27 13
35 52 30 17
66 48 32 22
129 46 32 25
166 48 30 21
199 49 28 17
195 26 27 12
100 29 27 7
228 29 25 8
5 47 25 11
5 62 25 13
player.explosion 6
6 105 26 21
36 103 30 27
70 101 32 30
105 101 31 31
143 104 28 24
178 104 24 24
player.bullet 1
103 84 11 10
powerup.sprite 7
74 140 13 10
6 140 13 10
40 140 13 10
23 140 13 10
57 140 13 10
91 140 13 10
108 140 13 10
green.jet 16
7 281 18 16
26 281 18 16
45 281 18 16
64 281 18 16
83 281 18 16
102 281 18 16
121 281 18 16
140 281 18 16
159 281 18 16
178 281 18 16
197 281 18 16
216 281 18 16
235 281 18 16
254 281 18 16
273 281 18 16
292 281 18 16
red.plane 1
6 221 14 14
resources/1945_sprite_sheet.bmp 7 0 0 0
game.menu_background 1
103 577 276 139
game.menu_playgame 1
581 390 98 15
game.menu_options 1
581 407 75 15
game.menu_credits 1
581 427 75 15
game.menu_scoring 1
581 443 75 15
game.menu_quit 1
581 462 42 15
game.menu_pointer 1
570 390 7 12
