resources/1942_sprite_sheet.png 6 0 0 0
player.sprite 7
5 6 24 16
38 6 24 16
101 6 24 16
166 6 24 16
70 6 24 16
134 6 24 16
200 6 24 16
player.explosion 6
6 105 26 21
36 103 30 27
70 101 32 30
105 101 31 31
143 104 28 24
178 104 24 24
player.bullet 1
102 84 10 10
powerup.sprite 7
74 140 13 10
6 140 13 10
40 140 13 10
23 140 13 10
57 140 13 10
91 140 13 10
108 140 13 10
green.jet 16
7 280 15 15
25 280 15 15
45 280 15 15
65 280 15 15
85 280 15 15
105 280 15 15
125 280 15 15
145 280 15 15
165 280 15 15
185 280 15 15
205 280 15 15
225 280 15 15
245 280 15 15
265 280 15 15
285 280 15 15
305 280 15 15
red.plane 1
6 221 14 14
